app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1798489484942139, ref_stop_time: 1798489486896430, actual_exe_time: 1954291, task_app_start_time:1798489478803058, task_sched_time:1798489484351019
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1798489493817071, ref_stop_time: 1798489493905361, actual_exe_time: 88290, task_app_start_time:1798489483183719, task_sched_time:1798489493805161
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1798489494522341, ref_stop_time: 1798489494601271, actual_exe_time: 78930, task_app_start_time:1798489478803058, task_sched_time:1798489494515201
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1798489494797261, ref_stop_time: 1798489494885221, actual_exe_time: 87960, task_app_start_time:1798489482574479, task_sched_time:1798489494790091
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1798489498561391, ref_stop_time: 1798489498642661, actual_exe_time: 81270, task_app_start_time:1798489479352838, task_sched_time:1798489498554791
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1798489498865982, ref_stop_time: 1798489498950072, actual_exe_time: 84090, task_app_start_time:1798489479798068, task_sched_time:1798489498859442
app_id: 6, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1798489499245692, ref_stop_time: 1798489499327802, actual_exe_time: 82110, task_app_start_time:1798489489263760, task_sched_time:1798489499150922
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1798489500317862, ref_stop_time: 1798489500397692, actual_exe_time: 79830, task_app_start_time:1798489483183719, task_sched_time:1798489500310452
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1798489501311582, ref_stop_time: 1798489501390272, actual_exe_time: 78690, task_app_start_time:1798489482574479, task_sched_time:1798489501300812
app_id: 8, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1798489502264562, ref_stop_time: 1798489502735802, actual_exe_time: 471240, task_app_start_time:1798489490409040, task_sched_time:1798489502261262
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1798489503001752, ref_stop_time: 1798489503084012, actual_exe_time: 82260, task_app_start_time:1798489490774320, task_sched_time:1798489502991312
