app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434793805904114, ref_stop_time: 2434793806076824, actual_exe_time: 172710, task_app_start_time:2434793804580784, task_sched_time:2434793805892654
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434793807386654, ref_stop_time: 2434793807467024, actual_exe_time: 80370, task_app_start_time:2434793806324234, task_sched_time:2434793807383744
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434793807394214, ref_stop_time: 2434793807546494, actual_exe_time: 152280, task_app_start_time:2434793804580784, task_sched_time:2434793807315554
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434793807747314, ref_stop_time: 2434793807833714, actual_exe_time: 86400, task_app_start_time:2434793804580784, task_sched_time:2434793807743444
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434793808491554, ref_stop_time: 2434793808571954, actual_exe_time: 80400, task_app_start_time:2434793806324234, task_sched_time:2434793808488104
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434793808767224, ref_stop_time: 2434793808852454, actual_exe_time: 85230, task_app_start_time:2434793806324234, task_sched_time:2434793808762424
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434793810714375, ref_stop_time: 2434793810794235, actual_exe_time: 79860, task_app_start_time:2434793809790795, task_sched_time:2434793810710325
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434793810718335, ref_stop_time: 2434793810803985, actual_exe_time: 85650, task_app_start_time:2434793808055504, task_sched_time:2434793810155715
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434793810926385, ref_stop_time: 2434793811004145, actual_exe_time: 77760, task_app_start_time:2434793808055504, task_sched_time:2434793810923085
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434793811179045, ref_stop_time: 2434793811259925, actual_exe_time: 80880, task_app_start_time:2434793808055504, task_sched_time:2434793811176435
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434793811715025, ref_stop_time: 2434793811796025, actual_exe_time: 81000, task_app_start_time:2434793809790795, task_sched_time:2434793811708665
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434793812407155, ref_stop_time: 2434793812486325, actual_exe_time: 79170, task_app_start_time:2434793811524915, task_sched_time:2434793812403795
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434793812413455, ref_stop_time: 2434793812502255, actual_exe_time: 88800, task_app_start_time:2434793809790795, task_sched_time:2434793811973385
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434793813383715, ref_stop_time: 2434793813465135, actual_exe_time: 81420, task_app_start_time:2434793811524915, task_sched_time:2434793813376695
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434793813637785, ref_stop_time: 2434793813720525, actual_exe_time: 82740, task_app_start_time:2434793811524915, task_sched_time:2434793813634455
