Resource Pool,Scheduler,Injection Rate (Mbps),Trial 1,Trial 2,Avg. execution time / app.(ns),Avg. cumulative execution time / app. (ns),Avg. Scheduling overhead / app.(ns), cpu1, cpu2, cpu3
C1+F2+M0+Z2,SIMPLE,10,261360.0,410154.0,5489412.9,335757.0,17049.0,0,0,0
C1+F2+M0+Z2,SIMPLE,20,285306.0,266988.0,4328250.5,276147.0,17997.0,0,0,0
C1+F2+M0+Z2,MET,10,271788.0,259050.0,4964104.0,265419.0,18957.0,0,0,0
C1+F2+M0+Z2,MET,20,262314.2,265926.0,4040109.7,264120.1,19032.0,0,0,0
C1+F2+M0+Z2,ETF,10,285132.0,452958.2,4798779.699999999,369045.1,17211.0,0,0,0
C1+F2+M0+Z2,ETF,20,260904.0,265038.0,4348782.8,262971.0,17781.0,0,0,0
C1+F2+M0+Z2,EFT,10,262008.0,265818.0,4291629.6,263913.0,16731.0,0,0,0
C1+F2+M0+Z2,EFT,20,264792.0,265422.2,4180662.5999999996,265107.1,17145.0,0,0,0
C2+F2+M0+Z2,SIMPLE,10,274152.0,321480.2,4969857.699999999,297816.1,15426.0,0,0,0
C2+F2+M0+Z2,SIMPLE,20,285486.0,282060.0,4605990.6,283773.0,15426.0,0,0,0
C2+F2+M0+Z2,MET,10,280464.0,284502.0,4733151.9,282483.0,18951.0,0,0,0
C2+F2+M0+Z2,MET,20,291138.0,281298.0,4400457.699999999,286218.0,18165.0,0,0,0
C2+F2+M0+Z2,ETF,10,273222.2,337950.0,5046840.699999999,305586.1,17394.0,0,0,0
C2+F2+M0+Z2,ETF,20,271938.2,275994.0,4691529.8,273966.1,17265.0,0,0,0
C2+F2+M0+Z2,EFT,10,271938.0,277890.0,4498674.699999999,274914.0,17124.0,0,0,0
C2+F2+M0+Z2,EFT,20,276078.2,273528.0,4510125.8,274803.1,17295.0,0,0,0
C3+F2+M0+Z2,SIMPLE,10,292500.0,342360.0,5487792.9,317430.0,14919.0,0,0,0
C3+F2+M0+Z2,SIMPLE,20,295026.0,286878.0,5138181.9,290952.0,14529.0,0,0,0
C3+F2+M0+Z2,MET,10,292038.0,280710.0,5177452.0,286374.0,29970.0,0,0,0
C3+F2+M0+Z2,MET,20,352572.2,286794.0,5086278.8,319683.1,17928.0,0,0,0
C3+F2+M0+Z2,ETF,10,282726.0,271176.0,5729163.8,276951.0,17988.0,0,0,0
C3+F2+M0+Z2,ETF,20,318534.0,262326.2,5762863.0,290430.1,17871.0,0,0,0
C3+F2+M0+Z2,EFT,10,282606.2,280638.0,5459796.9,281622.1,17259.0,0,0,0
C3+F2+M0+Z2,EFT,20,264738.2,280260.0,5077788.8,272499.1,18042.0,0,0,0
